question,strategy,coverage,completion_certificate,completion_reason,exit_ok,virtual_time_s,mean_clear_time_s,real_runtime_s,stations_visited,fallback_actions,distance_m,switches,measurements,clear_attempts,cleared,lost_signal,scenario_origin,seed,N,completion_ratio,stress,error_mode
4,adaptive,triangular,True,coverage_and_clearing,True,11705.579901,1170.5579900999999,0.2419423329993151,28,92,46622.89950305072,311,350,100,10,326,synthetic,20260911,10,1.0,none,fixed_location
4,adaptive,triangular,True,upper_bound_16,True,8999.104195,562.4440121875,0.39353575004497543,12,54,39465.52097745712,117,150,69,16,108,synthetic,20260912,16,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,10815.121413,1081.5121413000002,0.23724716599099338,28,0,42190.607063510295,357,394,10,10,366,synthetic,20260913,10,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,12279.981951,877.1415679285714,0.3435325419995934,28,43,53254.909754863525,201,247,55,14,212,synthetic,20260914,14,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,13490.711033,1037.7470025384614,0.36604666599305347,28,118,55478.5551648778,292,338,129,13,307,synthetic,20260915,13,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,13728.541873,980.6101337857143,0.3790325410082005,28,160,58012.709365224546,223,273,170,14,242,synthetic,20260916,14,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,11463.976021,881.8443093076924,0.21283725003013387,28,0,47434.880102553136,292,324,13,13,291,synthetic,20260917,13,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,15315.554499,1021.0369666,0.3462881669984199,28,224,65747.77249422137,198,246,236,15,211,synthetic,20260918,15,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,10279.254228,934.477657090909,0.22693408298073336,28,11,41306.27114180846,293,328,21,11,299,synthetic,20260919,11,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,11631.397354,894.7228733846155,0.33304749999661,28,66,48601.98677134439,237,284,76,13,255,synthetic,20260920,13,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,11724.971959,1172.4971959,0.2133141250233166,28,108,46759.859795280245,307,339,117,10,317,synthetic,20260921,10,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,10380.242857,741.4459183571428,0.2507844170322642,28,10,42621.21428461378,264,299,23,14,268,synthetic,20260922,14,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,11288.722098,1128.8722098,0.277385207999032,28,2,45193.6104895817,332,373,11,10,347,synthetic,20260923,10,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,10270.129499,855.8441249166667,0.1931217080564238,28,0,42110.64749715637,273,303,12,12,271,synthetic,20260924,12,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,10919.357955,727.957197,0.2847046669921838,28,0,47026.78977697336,209,246,15,15,208,synthetic,20260925,15,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,11392.212512,759.4808341333334,0.26110970799345523,28,1,48781.06255797248,231,266,15,15,229,synthetic,20260926,15,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,10586.002245,814.307865,0.29839508299482986,28,0,43995.011225370436,252,294,13,13,258,synthetic,20260927,13,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,11586.307407,1053.3006733636364,0.3520320410025306,28,16,47561.53703631157,289,337,26,11,308,synthetic,20260928,11,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,10964.276126,996.7523750909091,0.1446075420244597,28,0,44341.380627805884,316,345,11,11,320,synthetic,20260929,11,1.0,none,fixed_location
4,adaptive,triangular,True,coverage_and_clearing,True,11728.307921,837.7362800714285,0.35128249996341765,28,76,49211.53960557983,229,273,88,14,240,synthetic,20260930,14,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14069.497288,1406.9497288,0.2617009590030648,49,95,51777.48643797526,512,574,104,10,548,synthetic,20260911,10,1.0,none,fixed_location
4,adaptive,square,True,upper_bound_16,True,11478.478032,717.404877,0.4157055420218967,24,113,47967.39015867402,207,253,127,16,214,synthetic,20260912,16,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14099.683406,1409.9683406,0.2729560000007041,49,2,51823.41702830738,562,624,11,10,595,synthetic,20260913,10,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14041.219644,1002.9442602857143,0.30900391697650775,49,91,56891.09821787678,336,398,103,14,363,synthetic,20260914,14,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14181.053015,1090.850231923077,0.2706114170141518,49,1,54425.265073418894,491,548,13,13,515,synthetic,20260915,13,1.0,none,fixed_location
4,adaptive,square,True,coverage_and_clearing,True,14004.716754,1000.336911,0.3292263330076821,49,110,55963.58377076505,348,414,122,14,380,synthetic,20260916,14,1.0,none,fixed_location
