question,strategy,coverage,completion_certificate,completion_reason,exit_ok,virtual_time_s,mean_clear_time_s,real_runtime_s,stations_visited,fallback_actions,distance_m,switches,measurements,clear_attempts,cleared,lost_signal,seed,N,scenario_origin
3,adaptive,seven,True,coverage_and_clearing,True,4604.095401,460.40954009999996,0.14631258399458602,7,0,19545.477005518365,100,109,10,10,84,20260911,10,synthetic
3,adaptive_q25,seven,True,coverage_and_clearing,True,4079.333886,407.9333886,0.22348762495676056,7,0,16771.66942922933,100,115,10,10,84,20260911,10,synthetic
3,adaptive_q25_fine,seven,True,coverage_and_clearing,True,3970.549638,397.0549638,0.32644500001333654,7,0,16327.748189322574,100,111,10,10,84,20260911,10,synthetic
3,adaptive_q10,seven,True,coverage_and_clearing,True,3960.464833,396.0464833,0.23210108297644183,7,0,16152.324165439008,100,116,10,10,84,20260911,10,synthetic
3,adaptive_q10_dynamic,seven,True,coverage_and_clearing,True,3857.155276,385.7155276,0.20770958304638043,7,0,15685.77637950377,100,114,10,10,84,20260911,10,synthetic
3,adaptive_q10_dynamic_fine,seven,True,coverage_and_clearing,True,3931.860223,393.1860223,0.43899024999700487,7,0,16034.301116087488,100,115,10,10,84,20260911,10,synthetic
3,adaptive_q25_dynamic,seven,True,coverage_and_clearing,True,3897.386343,389.7386343,0.18345208303071558,7,0,15936.931716538053,100,112,10,10,84,20260911,10,synthetic
3,adaptive_q25_dynamic_fine,seven,True,coverage_and_clearing,True,3970.549638,397.0549638,0.3175082909874618,7,0,16327.748189322574,100,111,10,10,84,20260911,10,synthetic
3,adaptive,seven,True,upper_bound_16,True,5620.053761,351.2533600625,0.26987520803231746,5,0,25125.26880563517,75,88,16,16,44,20260912,16,synthetic
3,adaptive_q25,seven,True,upper_bound_16,True,4355.368153,272.2105095625,0.2863408750272356,5,0,18801.840765397,75,88,16,16,44,20260912,16,synthetic
3,adaptive_q25_fine,seven,True,upper_bound_16,True,4277.554233,267.3471395625,0.4873496670043096,5,0,18462.77116593605,75,86,16,16,44,20260912,16,synthetic
3,adaptive_q10,seven,True,upper_bound_16,True,4599.657972,287.47862325,0.4240470840013586,5,0,19723.289861382076,75,100,16,16,44,20260912,16,synthetic
3,adaptive_q10_dynamic,seven,True,upper_bound_16,True,4152.093765,259.5058603125,0.3259454169892706,5,0,17685.468824989664,75,92,16,16,44,20260912,16,synthetic
3,adaptive_q10_dynamic_fine,seven,True,upper_bound_16,True,4447.795689,277.9872305625,0.7689405000419356,5,0,18988.978443069926,75,99,16,16,44,20260912,16,synthetic
3,adaptive_q25_dynamic,seven,True,upper_bound_16,True,4209.92835,263.120521875,0.28042766597354785,5,0,18074.641749320555,75,88,16,16,44,20260912,16,synthetic
3,adaptive_q25_dynamic_fine,seven,True,upper_bound_16,True,4277.554233,267.3471395625,0.4719137499923818,5,0,18462.77116593605,75,86,16,16,44,20260912,16,synthetic
3,adaptive,seven,True,coverage_and_clearing,True,4347.556256,434.7556256,0.1711980000254698,7,0,18057.781280439827,106,116,10,10,89,20260913,10,synthetic
