question,strategy,coverage,completion_certificate,completion_reason,exit_ok,virtual_time_s,mean_clear_time_s,real_runtime_s,stations_visited,fallback_actions,distance_m,switches,measurements,clear_attempts,cleared,lost_signal,scenario_origin,seed,N,completion_ratio,stress,error_mode
3,fixed,seven,True,coverage_and_clearing,True,4845.732355,484.5732355,0.15051537501858547,7,0,20578.66177453777,105,115,10,10,88,synthetic,20260911,10,1.0,none,fixed_location
3,adaptive,seven,True,coverage_and_clearing,True,4604.095401,460.40954009999996,0.13088579202303663,7,0,19545.477005518365,100,109,10,10,84,synthetic,20260911,10,1.0,none,fixed_location
3,fixed,seven,True,coverage_and_clearing,True,6341.227651,396.3267281875,0.2101653750287369,7,0,28321.138255544625,92,101,16,16,62,synthetic,20260912,16,1.0,none,fixed_location
3,adaptive,seven,True,upper_bound_16,True,5620.053761,351.2533600625,0.26147033303277567,5,0,25125.26880563517,75,88,16,16,44,synthetic,20260912,16,1.0,none,fixed_location
3,fixed,seven,True,coverage_and_clearing,True,4347.556256,434.7556256,0.15706683398457244,7,0,18057.781280439827,106,116,10,10,89,synthetic,20260913,10,1.0,none,fixed_location
3,adaptive,seven,True,coverage_and_clearing,True,4347.556256,434.7556256,0.15655691700521857,7,0,18057.781280439827,106,116,10,10,89,synthetic,20260913,10,1.0,none,fixed_location
3,fixed,seven,True,coverage_and_clearing,True,5668.849663,404.91783307142856,0.19920758297666907,7,0,25019.248313488213,90,101,14,14,65,synthetic,20260914,14,1.0,none,fixed_location
3,adaptive,seven,True,coverage_and_clearing,True,5485.976313,391.85545092857143,0.2131540839909576,7,0,24294.881563141895,82,95,14,14,57,synthetic,20260914,14,1.0,none,fixed_location
3,fixed,seven,True,coverage_and_clearing,True,5490.930481,422.3792677692308,0.17083966702921316,7,0,23899.65240588594,101,109,13,13,77,synthetic,20260915,13,1.0,none,fixed_location
3,adaptive,seven,True,coverage_and_clearing,True,5490.930481,422.3792677692308,0.1685797090176493,7,0,23899.65240588594,101,109,13,13,77,synthetic,20260915,13,1.0,none,fixed_location
3,fixed,seven,True,coverage_and_clearing,True,5672.347897,405.1677069285714,0.1977495420142077,7,0,25286.73948727422,80,93,14,14,57,synthetic,20260916,14,1.0,none,fixed_location
3,adaptive,seven,True,coverage_and_clearing,True,5180.765669,370.05469064285717,0.1974195409566164,7,0,22998.828346299557,76,87,14,14,51,synthetic,20260916,14,1.0,none,fixed_location
3,fixed,seven,True,coverage_and_clearing,True,5356.552645,412.04251115384614,0.14639704197179526,7,0,23397.763227334195,97,103,13,13,74,synthetic,20260917,13,1.0,none,fixed_location
3,adaptive,seven,True,coverage_and_clearing,True,5356.552645,412.04251115384614,0.14566104201367125,7,0,23397.763227334195,97,103,13,13,74,synthetic,20260917,13,1.0,none,fixed_location
3,fixed,seven,True,coverage_and_clearing,True,5670.009404,378.00062693333336,0.20377550000557676,7,0,25450.0470209238,75,86,15,15,48,synthetic,20260918,15,1.0,none,fixed_location
